samples "o - mean" "o - var" "o - max" "o - min" "o - spread" "o - mad" "o - kurtosis" "o - skew" "o - median" "o - first quantile" "o - last quantile" "o - sum" "d - mean" "d - var" "d - max" "d - min" "d - spread" "d - mad" "d - kurtosis" "d - skew" "d - median" "d - first quantile" "d - last quantile" "d - sum" "rm - mean" "rm - var" "rm - max" "rm - min" "rm - spread" "rm - mad" "rm - kurtosis" "rm - skew" "rm - median" "rm - first quantile" "rm - last quantile" "rm - sum"
32 731.3095238095239 171.49943310657596 765 710 55 10.606575963718829 -0.3686008980921125 0.48482945265777105 730.0 721.25 740.0 30715 -0.6097560975609756 201.45746579417013 35.0 -30.0 65.0 11.142177275431289 -0.06772109248451263 0.40511304626722056 0.0 -10.0 10.0 -25.0 728.078125 48.892333984375 741.5 718.0 23.5 6.1455078125 -1.176228198823886 0.23918688537896537 727.0 720.875 734.125 23298.5
40 741.625 6209.234375 1085 385 700 24.875 16.50335667741308 -0.24857196522302805 742.5 735.0 750.0 29665 0.375 18492.984375 350.0 -700.0 1050.0 43.68125 16.773961443486407 -2.565431354047348 0.0 -10.0 10.0 15.0 740.025 83.924375 778.5 702.5 76.0 4.776249999999999 11.860419161592864 0.16124192285545205 739.25 736.875 743.0 29601.0
39 775.7692307692307 523.7672583826431 840 745 95 18.7179487179487 -0.07261402344497325 0.8889888242256021 770.0 760.0 795.0 30255 1.5384615384615385 211.7357001972386 40.0 -25.0 65.0 11.656804733727812 -0.1793992722593165 0.33077517090365655 0.0 -7.5 10.0 60.0 769.4871794871794 315.1857330703485 807.5 748.0 59.5 14.341880341880328 -0.24764884558302702 0.9876170246301833 764.5 755.75 776.75 30010.0
36 825.1388888888889 7378.452932098766 995 735 260 76.8287037037037 -1.1661873048493971 0.6083931370853021 790.0 745.0 890.0 29705 -1.9444444444444444 948.996913580247 70.0 -125.0 195.0 19.830246913580247 5.633964914422165 -1.2080870108581898 0.0 -11.25 10.0 -70.0 832.9861111111111 4423.728973765432 947.5 743.0 204.5 57.79012345679012 -1.2212950871936503 0.24589130616962826 815.0 779.375 890.875 29987.5
41 746.5853658536586 56.63295657346818 760 735 25 6.579417013682335 -1.1195942531424357 0.09546876532410103 745.0 740.0 755.0 30610 0.36585365853658536 101.69541939321833 20.0 -20.0 40.0 8.387864366448541 -0.719606707215096 -0.4210351207363978 5.0 -5.0 5.0 15.0 745.7439024390244 4.074657941701369 750.5 742.0 8.5 1.62700773349197 -0.34616842223134636 0.31259597217503726 745.5 744.5 747.0 30575.5
40 747.5 57.5 760 730 30 6.125 -0.20463137996219283 -0.3655261319911428 750.0 745.0 751.25 29900 -0.125 91.859375 15.0 -20.0 35.0 7.6625 -0.7004512762783377 -0.3051710212683026 0.0 -6.25 5.0 -5.0 748.475 10.449375 754.5 741.0 13.5 2.577499999999998 -0.3698537891934328 -0.43160428414121277 748.75 746.375 750.625 29939.0
40 737.125 72.359375 750 720 30 7.125 -0.8254421852004188 -0.2522447749787604 737.5 730.0 745.0 29485 -0.25 79.9375 15.0 -20.0 35.0 7.325 -0.7672175963311836 -0.37082690987449873 0.0 -6.25 5.0 -10.0 736.8625 26.312343750000004 743.5 728.5 15.0 4.583125000000007 -1.3856873798995528 -0.38992135108659776 738.0 731.375 741.5 29474.5
40 752.125 54.859375 765 735 30 6.4125 -0.7750979324369411 -0.15369181042278238 755.0 745.0 756.25 30085 0.75 120.6875 20.0 -20.0 40.0 9.075 -0.8573802397096517 -0.021283563098923215 0.0 -10.0 10.0 30.0 751.1 4.2525 754.5 744.0 10.5 1.4949999999999988 2.0872907004594774 -1.2096703270617128 751.5 750.5 752.5 30044.0
40 748.625 37.484375 760 735 25 4.9 -0.24881945912922943 -0.2000135646736691 750.0 745.0 751.25 29945 -0.375 85.484375 15.0 -20.0 35.0 7.4875 -0.5053296253979167 -0.6018101800373878 0.0 -5.0 5.0 -15.0 748.9875 6.55609375 752.5 744.0 8.5 2.265000000000009 -1.06682950877999 -0.5473659906344644 750.0 747.25 751.0 29959.5
41 741.3414634146342 46.371207614515164 755 730 25 5.472932778108274 -0.4914918075887056 0.1448081923260346 740.0 735.0 745.0 30395 -0.24390243902439024 68.23319452706721 20.0 -15.0 35.0 6.85901249256395 -0.606360058345603 0.24006397868379672 0.0 -5.0 5.0 -10.0 742.2682926829268 20.525580011897677 750.0 734.0 16.0 3.8602022605591904 -1.1603882053422878 -0.26625464059514903 742.0 739.0 746.5 30433.0
40 748.625 104.984375 765 715 50 7.5375 1.655303988411907 -1.021405027678531 750.0 745.0 755.0 29945 0.25 108.6875 20.0 -25.0 45.0 8.2625 -0.16703233766109227 -0.36429277906997254 0.0 -5.0 5.0 10.0 746.6625 38.142343749999995 757.5 737.0 20.5 5.6793749999999985 -1.3433150477947169 -0.07774625241182669 748.75 741.5 751.5 29866.5
40 754.75 164.9375 780 730 50 10.75 -0.8834064368945658 0.30330033980128207 752.5 745.0 765.0 30190 0.375 56.734375 20.0 -15.0 35.0 5.95 -0.17106632723917725 0.22346843874405636 0.0 -5.0 5.0 15.0 753.2375 88.39984375 772.5 740.5 32.0 7.899374999999997 -0.863711219724498 0.46630484299039104 752.5 744.875 758.5 30129.5
39 760.3846153846154 108.1854043392505 785 740 45 8.422090729783031 -0.39182314574678623 0.42735268370466456 760.0 755.0 765.0 29655 -0.38461538461538464 99.21104536489153 30.0 -20.0 50.0 7.633136094674555 0.7976662885509986 0.49538211067957494 0.0 -5.0 5.0 -15.0 763.0897435897435 37.113740959894805 772.0 750.0 22.0 5.2202498356344496 -0.9267001511013802 -0.30767959189740685 763.0 758.5 768.75 29760.5
40 761.125 63.109375 780 745 35 6.7375 -0.5853994364551958 0.22680180262190425 760.0 755.0 765.0 30445 0.375 96.734375 20.0 -15.0 35.0 8.2 -0.762286561786782 0.3683934815810814 0.0 -6.25 6.25 15.0 759.6625 23.642343750000002 767.5 749.0 18.5 3.6718749999999942 -0.15777288370096576 -0.5481550054349 760.5 757.875 761.75 30386.5
39 766.6666666666666 49.14529914529914 785 750 35 5.555555555555549 0.2128922495274148 0.175723094855494 765.0 762.5 770.0 29900 -0.1282051282051282 66.00920447074293 15.0 -15.0 30.0 6.581196581196582 -0.7007269725877361 -0.31721605173612977 0.0 -5.0 5.0 -5.0 766.5641025641025 7.617685733070347 771.0 762.0 9.0 2.4247205785667316 -1.2524599943102273 -0.046059989520872556 766.5 764.25 769.0 29896.0
39 759.2307692307693 178.89546351084815 785 735 50 11.55818540433925 -1.0395414690834153 0.18879977262102424 760.0 750.0 770.0 29610 0.0 85.8974358974359 20.0 -20.0 40.0 7.435897435897436 -0.5977946090443309 -0.16909251994229635 0.0 -10.0 5.0 0.0 757.7564102564103 92.1137409598948 775.5 743.5 32.0 8.403681788297172 -1.1655573628195504 0.10138657929659137 758.5 748.75 764.75 29552.5
39 772.0512820512821 70.15121630506243 790 760 30 6.870479947403023 -0.598627654724817 0.1561033206729104 775.0 765.0 775.0 30110 0.0 88.46153846153847 20.0 -15.0 35.0 7.435897435897436 -0.800567107750473 -0.09245383183846868 0.0 -7.5 5.0 0.0 772.5384615384615 23.86390532544378 781.0 764.5 16.5 4.218934911242604 -1.2697818622449588 0.08451236850508839 772.5 767.75 777.0 30129.0
39 765.8974358974359 70.34845496383959 785 750 35 6.863905325443788 -0.5202683640492616 -0.12123358653124013 765.0 760.0 770.0 29870 -0.2564102564102564 106.34451019066401 25.0 -15.0 40.0 8.264299802761341 -0.4995921731257562 0.2441206822304877 0.0 -10.0 5.0 -10.0 767.5897435897435 15.344510190664037 774.0 759.0 15.0 3.4372123602892906 -0.9643557008129333 -0.374870564348562 769.0 764.0 770.5 29936.0
39 769.3589743589744 116.89677843524001 800 750 50 8.060486522024984 1.21688394652299 1.002260882441327 765.0 765.0 775.0 30005 1.2820512820512822 173.99737015121627 40.0 -20.0 60.0 10.486522024983563 0.7707829771641048 0.9028811850897049 0.0 -10.0 10.0 50.0 767.8076923076923 32.713017751479285 778.0 758.5 19.5 4.777120315581853 -0.9425059081772695 0.08523277839411479 767.5 763.5 772.0 29944.5
38 784.4736842105264 93.14404432132964 800 760 40 7.742382271468135 -0.3106866958720791 -0.3997619551605821 785.0 780.0 790.0 29810 0.0 92.10526315789474 20.0 -20.0 40.0 7.368421052631579 -0.1693877551020404 0.2232806023935976 0.0 -5.0 5.0 0.0 782.0263157894736 48.538781163434905 792.5 770.0 22.5 6.444598337950143 -1.455889900519446 -0.20508042680406827 785.25 775.25 788.375 29717.0
39 772.3076923076923 284.41814595660753 800 735 65 13.570019723865888 -0.43970295725039676 -0.5894750643874224 775.0 762.5 785.0 30120 -1.6666666666666667 108.11965811965813 20.0 -20.0 40.0 8.547008547008549 -0.7331390898154946 0.2768581633660372 -5.0 -10.0 5.0 -65.0 777.7564102564103 127.40861275476658 791.5 749.5 42.0 9.365548980933596 -0.2618377994680845 -0.6835650852341804 777.0 772.75 788.5 30332.5
41 745.7317073170732 51.90362879238548 760 730 30 5.770374776918505 -0.23358248290244 0.08561616652395283 745.0 740.0 750.0 30575 0.36585365853658536 56.573468173706125 20.0 -15.0 35.0 5.621653777513385 0.0639721760590719 0.2623587287047605 0.0 -5.0 5.0 15.0 745.5975609756098 22.96609161213563 754.0 738.0 16.0 4.162998215348011 -1.12618967163634 0.37941929010658504 744.0 742.0 749.5 30569.5
39 758.4615384615385 69.42800788954634 775 740 35 6.942800788954637 -0.6795361731663223 -0.2708581050615862 760.0 752.5 765.0 29580 0.5128205128205128 124.09598948060487 20.0 -25.0 45.0 9.52662721893491 -0.7541676593131892 -0.115016948256755 0.0 -7.5 10.0 20.0 756.6794871794872 30.839579224194605 764.0 744.5 19.5 4.5134779750164356 -0.41162266021785054 -0.8127951494012785 758.5 753.5 760.5 29510.5
40 747.125 43.609375 760 735 25 5.625 -0.7879765551374955 -0.03292001445699668 747.5 740.0 750.0 29885 -0.5 87.25 15.0 -25.0 40.0 7.325 0.04018029408625523 -0.4067573219259157 0.0 -5.0 5.0 -20.0 748.7375 15.149843750000002 757.5 741.5 16.0 3.000625000000002 -0.15074299525827772 0.41487670620633466 749.0 745.875 750.5 29949.5
39 766.4102564102565 105.06245890861275 780 740 40 8.553583168967783 -0.3781578897902591 -0.6683465080116325 770.0 760.0 775.0 29890 0.6410256410256411 107.92241946088099 20.0 -20.0 40.0 8.639053254437869 -0.5987164793313542 0.017622449759041807 0.0 -5.0 7.5 25.0 763.2948717948718 79.82971729125575 771.5 745.5 26.0 7.786324786324776 -0.7229267412566465 -0.9846379648659114 768.0 756.75 769.5 29768.5
40 766.125 76.859375 785 750 35 7.29375 -0.6661511113087517 0.29466348935375924 765.0 760.0 771.25 30645 -0.375 116.734375 20.0 -20.0 40.0 8.9125 -0.9514260655859328 0.08186690027421625 0.0 -10.0 6.25 -15.0 767.325 13.069374999999999 774.5 761.5 13.0 3.075 -1.132332004148994 0.09837546772550806 767.25 763.875 770.625 30693.0
39 761.4102564102565 61.47271531886916 780 745 35 6.134122287968446 -0.07632503074151131 -0.07327681950009556 760.0 757.5 765.0 29695 0.0 110.25641025641026 30.0 -25.0 55.0 7.948717948717949 0.48553272038939976 0.06644325115016744 0.0 -7.5 5.0 0.0 761.0897435897435 11.639381985535831 768.0 755.5 12.5 2.7047994740302275 -0.5840068635146789 0.6194876684583132 760.5 758.5 762.75 29682.5
