samples "o - mean" "o - var" "o - max" "o - min" "o - spread" "o - mad" "o - kurtosis" "o - skew" "o - median" "o - first quantile" "o - last quantile" "o - sum" "d - mean" "d - var" "d - max" "d - min" "d - spread" "d - mad" "d - kurtosis" "d - skew" "d - median" "d - first quantile" "d - last quantile" "d - sum" "rm - mean" "rm - var" "rm - max" "rm - min" "rm - spread" "rm - mad" "rm - kurtosis" "rm - skew" "rm - median" "rm - first quantile" "rm - last quantile" "rm - sum"
44 568.6111111111111 378.16358024691357 665 480 185 9.269547325102883 16.317746429289745 0.5668585329953296 570.0 565.0 575.0 30705 -0.37735849056603776 1022.4991100035601 185.0 -100.0 285.0 11.441794232823069 21.036401600348064 2.744034910118973 0.0 -5.0 5.0 -20.0 566.9318181818181 21.006714876033058 575.0 559.0 16.0 3.9607438016528973 -1.0369733932163931 -0.14338483398773344 568.0 563.25 570.0 24945.0
52 577.8846153846154 393.60207100591714 655 475 180 10.7914201183432 15.378566693065011 -1.575186591731531 580.0 570.0 585.0 30050 0.09615384615384616 980.2792159763314 180.0 -100.0 280.0 11.667899408284022 20.80229899231861 2.701421632869932 0.0 -5.0 5.0 5.0 577.2884615384615 37.21486686390533 593.0 564.5 28.5 4.763313609467454 -0.08654015397962844 -0.4301377544180423 577.5 575.375 581.5 30019.0
52 580.4807692307693 112.74963017751477 605 565 40 8.284023668639065 -0.33063380178698054 0.45237945293417603 580.0 573.75 585.0 30185 0.28846153846153844 32.12832840236686 10.0 -10.0 20.0 4.415680473372782 -0.6914774183530867 -0.03400566379367289 0.0 -5.0 5.0 15.0 579.1826923076923 43.85604659763313 594.0 566.5 27.5 5.526997041420123 -0.633965876088546 -0.3418046438949619 580.25 574.25 583.5 30117.5
51 583.7254901960785 40.04229142637447 600 570 30 5.124951941560936 -0.23407270847445494 0.3125411064637266 585.0 580.0 587.5 29770 -0.29411764705882354 43.54094579008075 15.0 -15.0 30.0 5.432525951557094 -0.6240752598570247 0.1594002382711369 0.0 -5.0 5.0 -15.0 584.843137254902 34.07343329488658 597.0 576.5 20.5 4.691657054978861 -0.4967291722583629 0.6715001939644125 583.5 580.0 588.75 29827.0
51 583.8235294117648 78.02768166089966 605 565 40 6.874279123414063 -0.15964277461762544 -0.0674786499563121 585.0 580.0 590.0 29775 0.19607843137254902 32.31449442522107 20.0 -10.0 30.0 4.009996155324875 1.4589476958596297 0.8037836604993965 0.0 -5.0 5.0 10.0 583.8627450980392 44.8929257977701 595.0 570.5 24.5 5.295271049596306 -0.612582846620378 -0.43943516013368666 585.5 579.75 587.0 29777.0
52 578.6538461538462 133.7647928994083 605 555 50 8.579881656804726 -0.23632098875086172 0.07728525037092843 580.0 575.0 585.0 30090 -0.38461538461538464 26.77514792899408 10.0 -15.0 25.0 3.8017751479289936 0.24187295870089454 -0.26241157980770097 0.0 -5.0 5.0 -20.0 579.5192307692307 103.38424556213019 597.0 561.5 35.5 8.326183431952664 -0.9028286080108194 -0.09802350586859207 580.75 572.25 587.625 30135.0
52 579.4230769230769 105.4363905325444 595 560 35 9.10502958579882 -1.2890751594356493 -0.057742163099715256 580.0 570.0 590.0 30130 0.38461538461538464 20.04437869822485 10.0 -10.0 20.0 3.254437869822485 -0.10671150991952683 0.33094937113609596 0.0 -1.25 5.0 20.0 577.9038461538462 71.88498520710058 592.5 565.5 27.0 7.569526627218938 -1.353415701965117 0.17301471672065008 576.25 570.375 585.75 30051.0
51 591.9607843137255 61.84159938485198 610 575 35 6.278354479046517 0.010095526282562162 -0.42080631253052936 595.0 587.5 595.0 30190 -0.19607843137254902 27.412533640907338 15.0 -10.0 25.0 3.6024605920799693 1.1398836278372615 0.6930274133912591 0.0 -5.0 0.0 -10.0 592.1078431372549 28.846212995001924 600.0 580.0 20.0 4.118031526336018 0.1765970369548806 -1.0788486210774213 593.5 591.25 595.0 30197.5
50 593.1 56.88999999999999 610 580 30 6.175999999999999 -0.4494346174033166 0.24151270327906166 595.0 590.0 598.75 29655 0.3 24.41 15.0 -10.0 25.0 3.6320000000000006 0.3711707732222349 0.6260633645846971 0.0 -5.0 5.0 15.0 591.96 22.5284 603.0 583.5 19.5 3.606399999999994 -0.004929452924967492 0.15158162280176332 592.5 589.5 594.375 29598.0
51 585.9803921568628 49.03883121876203 605 575 30 5.701653210303733 -0.1160157944532938 0.5907408968765768 585.0 580.0 590.0 29885 -0.39215686274509803 24.356016916570553 10.0 -10.0 20.0 3.8254517493271827 -0.3898185934121523 0.402011151890368 0.0 -5.0 2.5 -20.0 588.1666666666666 53.839869281045765 604.5 580.0 24.5 6.10457516339868 -0.31674788075000215 0.9754061625449746 585.5 582.5 592.75 29996.5
